Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Botswana,903,Africa,913,Southern Africa,902,Developing regions,10,1,3,3,7,4,2,3,8,8,2,2,4,4,0,2,3,2,0,2,3,2,4,4,9,7,11,8,28,15,42,53,64,76
Immigrants,Foreigners,Brazil,904,Latin America and the Caribbean,931,South America,902,Developing regions,211,220,192,139,145,130,205,244,394,650,650,877,1066,866,566,572,586,591,531,626,845,847,745,839,917,969,1181,1746,2138,2509,2598,1508,1642,1714
Immigrants,Foreigners,Brunei Darussalam,935,Asia,920,South-Eastern Asia,902,Developing regions,79,6,8,2,2,4,12,16,103,63,44,65,31,36,14,17,4,6,1,3,6,3,4,6,3,4,5,11,10,5,12,6,3,6
Immigrants,Foreigners,Bulgaria,908,Europe,923,Eastern Europe,901,Developed regions,24,20,12,33,11,24,33,52,43,85,172,611,1116,965,687,762,825,732,779,832,1172,1283,1517,1507,2022,1738,1419,1172,994,784,556,365,451,512
Immigrants,Foreigners,Burkina Faso,903,Africa,914,Western Africa,902,Developing regions,2,1,3,2,3,2,7,18,6,4,4,22,21,19,3,12,16,23,14,20,31,46,37,34,97,91,147,136,139,162,186,144,269,322
Immigrants,Foreigners,Burundi,903,Africa,910,Eastern Africa,902,Developing regions,0,0,0,0,1,2,1,5,1,14,19,9,19,14,28,126,367,207,94,202,342,334,364,383,559,626,468,614,448,566,529,604,684,480
Immigrants,Foreigners,Cabo Verde,903,Africa,914,Western Africa,902,Developing regions,1,1,2,0,11,1,9,3,1,7,14,16,15,11,9,4,7,16,9,3,4,5,2,13,3,5,7,2,5,1,3,3,6,2
Immigrants,Foreigners,Cambodia,935,Asia,920,South-Eastern Asia,902,Developing regions,12,19,26,33,10,7,8,14,15,27,34,38,93,418,371,286,216,313,241,165,245,259,230,277,348,370,529,460,354,203,200,196,233,288
Immigrants,Foreigners,Cameroon,903,Africa,911,Middle Africa,902,Developing regions,9,2,16,7,8,13,11,18,20,38,34,66,71,78,67,122,178,104,197,220,244,206,222,301,436,604,697,1025,1279,1344,1800,1638,2507,2439
Immigrants,Citizens,Canada,905,Northern America,905,Northern America,901,Developed regions,0,0,0,0,0,0,0,0,0,0,3,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Immigrants,Foreigners,Central African Republic,903,Africa,911,Middle Africa,902,Developing regions,4,3,1,0,0,0,0,2,3,4,6,2,11,4,4,4,6,9,17,6,13,6,20,10,13,49,18,30,28,19,26,18,45,169
Immigrants,Foreigners,Chad,903,Africa,911,Middle Africa,902,Developing regions,0,0,1,0,0,1,2,3,7,14,8,2,10,13,6,5,38,26,30,122,148,90,76,64,92,126,96,131,95,87,98,79,97,86
Immigrants,Foreigners,Chile,904,Latin America and the Caribbean,931,South America,902,Developing regions,1233,1069,1078,781,681,533,633,1454,990,1023,1286,1749,1175,697,352,273,244,325,376,397,366,369,401,347,383,384,427,530,350,375,340,174,291,273
Immigrants,Foreigners,China,935,Asia,906,Eastern Asia,902,Developing regions,5123,6682,3308,1863,1527,1816,1960,2643,2758,4323,8076,14255,10846,9817,13128,14398,19415,20475,21049,30069,35529,36434,31961,36439,36619,42584,33518,27642,30037,29622,30391,28502,33024,34129
Immigrants,Foreigners,"China, Hong Kong Special Administrative Region",935,Asia,906,Eastern Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,257,400,470,379,430,446,536,729,712,674,897,657,623,591,728,774
Immigrants,Foreigners,"China, Macao Special Administrative Region",935,Asia,906,Eastern Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,28,21,21,21,32,16,12,21,21,13,33,29
Immigrants,Foreigners,Colombia,904,Latin America and the Caribbean,931,South America,902,Developing regions,266,326,360,244,235,214,257,376,352,439,614,652,582,464,375,371,381,578,929,1306,2259,2965,3283,4318,4566,6424,6535,5357,5452,4652,5218,4366,3741,3631
Immigrants,Foreigners,Comoros,903,Africa,910,Eastern Africa,902,Developing regions,0,2,2,0,0,2,1,0,2,2,1,3,0,2,4,4,5,2,4,1,3,14,2,11,6,5,7,11,3,19,22,14,18,22
Immigrants,Foreigners,Congo,903,Africa,911,Middle Africa,902,Developing regions,2,0,1,0,1,2,4,1,1,5,3,6,13,4,14,11,15,25,44,102,119,106,84,112,142,136,143,87,72,70,75,81,91,114
Immigrants,Foreigners,Costa Rica,904,Latin America and the Caribbean,916,Central America,902,Developing regions,28,35,42,51,75,113,79,116,104,92,99,156,216,184,83,89,118,135,103,100,106,134,106,105,165,188,279,281,246,217,190,149,183,122
Immigrants,Foreigners,Côte d'Ivoire,903,Africa,914,Western Africa,902,Developing regions,14,8,10,6,21,23,23,20,17,37,42,62,62,67,68,101,102,67,57,110,118,143,184,119,256,294,431,619,646,668,1066,636,1024,1170
Immigrants,Foreigners,Croatia,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,151,938,692,647,541,622,676,993,715,376,304,177,151,128,102,102,131,92,91,135,112,125
Immigrants,Foreigners,Cuba,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,306,41,94,104,101,115,102,139,90,122,135,158,220,374,360,421,508,566,531,696,842,950,872,877,866,999,1064,1350,1300,1433,961,962,1304,1402
Immigrants,Foreigners,Cyprus,935,Asia,922,Western Asia,902,Developing regions,132,128,84,46,46,43,48,48,56,55,27,37,29,42,24,16,31,36,19,15,16,22,13,17,11,7,9,4,7,6,18,6,12,16
Immigrants,Foreigners,Czech Republic,908,Europe,923,Eastern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,1,0,107,155,128,149,182,206,524,470,290,226,181,191,193,146,137,104,159,168,128,173,174
Immigrants,Foreigners,Democratic People's Republic of Korea,935,Asia,906,Eastern Asia,902,Developing regions,1,1,3,1,4,3,0,0,0,0,1,4,16,0,1,0,0,4,1,4,6,8,11,18,15,14,10,7,19,11,45,97,66,17
Immigrants,Foreigners,Democratic Republic of the Congo,903,Africa,911,Middle Africa,902,Developing regions,15,16,17,17,28,11,38,66,46,48,116,223,439,404,309,529,796,663,768,937,1232,1248,1103,1233,1465,1521,1623,1466,1397,1581,1239,1224,1714,2050
Immigrants,Foreigners,Denmark,908,Europe,924,Northern Europe,901,Developed regions,272,293,299,106,93,73,93,109,129,129,118,111,158,186,93,111,70,83,63,81,93,81,70,89,89,62,101,97,108,81,92,93,94,81
Immigrants,Foreigners,Djibouti,903,Africa,910,Eastern Africa,902,Developing regions,0,1,1,5,1,0,4,2,4,6,10,14,34,23,10,13,19,28,30,85,145,96,62,43,67,93,68,50,47,70,123,127,164,201
Immigrants,Foreigners,Dominica,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,104,81,94,65,81,79,50,89,75,96,77,127,125,106,57,77,66,68,56,67,72,82,62,65,50,59,72,79,60,59,43,36,43,48
Immigrants,Foreigners,Dominican Republic,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,40,53,104,88,97,84,307,446,358,409,363,517,557,646,432,276,306,285,210,254,241,264,202,234,270,303,295,311,438,391,479,739,604,590
Immigrants,Foreigners,Ecuador,904,Latin America and the Caribbean,931,South America,902,Developing regions,238,207,184,155,179,208,240,344,265,278,552,643,644,547,431,368,310,317,295,291,342,353,418,361,417,491,525,419,437,373,353,348,282,418
Immigrants,Foreigners,Egypt,903,Africa,912,Northern Africa,902,Developing regions,612,660,755,455,447,348,514,1017,1085,1663,2365,1860,1558,1598,2375,2821,2561,2137,1387,1378,1642,2595,2039,2230,2393,2496,2190,2356,3347,3496,5982,4663,5555,4165
Immigrants,Foreigners,El Salvador,904,Latin America and the Caribbean,916,Central America,902,Developing regions,110,295,882,2587,2666,2769,3106,3558,2720,2955,4384,7124,5670,2977,1217,722,736,603,477,424,569,453,473,446,442,436,430,929,1115,845,787,691,641,639
Immigrants,Foreigners,Equatorial Guinea,903,Africa,911,Middle Africa,902,Developing regions,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,1,0,4,1,2,2,2,3,4,5,1,5,4,4,4,11
Immigrants,Foreigners,Eritrea,903,Africa,910,Eastern Africa,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58,100,80,77,79,153,221,176,262,414,528,700,699,799,904,931,1182,1335,1719
Immigrants,Foreigners,Estonia,908,Europe,924,Northern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,14,4,30,51,39,70,89,73,50,54,58,30,38,56,27,26,18,34,34,26,28,15,26,45
Immigrants,Foreigners,Ethiopia,903,Africa,910,Eastern Africa,902,Developing regions,98,59,54,98,154,157,302,555,690,1096,890,1168,1876,1779,1204,870,999,739,563,678,1074,1062,818,1399,1535,1506,1801,1512,1613,1289,1865,2163,1864,1606
Immigrants,Foreigners,Fiji,909,Oceania,928,Melanesia,902,Developing regions,632,705,814,554,389,446,361,523,561,736,1172,1619,1782,1317,1016,674,621,448,388,360,458,643,611,561,495,298,277,304,321,311,398,316,270,228
Immigrants,Foreigners,Finland,908,Europe,924,Northern Europe,901,Developed regions,208,205,170,70,83,69,68,92,89,78,73,63,76,98,99,76,58,82,55,63,70,53,59,65,54,67,51,62,89,63,63,72,62,76
Immigrants,Foreigners,France,908,Europe,926,Western Europe,901,Developed regions,1729,2027,2219,1490,1169,1177,1298,1658,2038,2332,2177,2911,3487,3709,2759,3332,2623,2473,3214,3343,3765,3806,3463,3568,4391,4429,4002,4290,4532,5051,4646,4080,6280,5623
Immigrants,Foreigners,Gabon,903,Africa,911,Middle Africa,902,Developing regions,2,3,2,2,1,0,0,5,3,4,10,5,3,8,4,5,9,12,14,20,16,26,24,42,33,67,68,101,86,86,64,63,74,90
Immigrants,Foreigners,Gambia,903,Africa,914,Western Africa,902,Developing regions,0,0,1,0,0,2,4,22,3,6,12,21,51,43,15,23,19,25,17,18,23,22,10,10,10,29,38,32,25,10,37,24,18,33
Immigrants,Foreigners,Georgia,935,Asia,922,Western Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,8,22,27,67,49,46,92,46,83,124,123,127,106,114,125,132,112,128,126,139,147,125
Immigrants,Foreigners,Germany,908,Europe,926,Western Europe,901,Developed regions,1626,1977,3062,2376,1610,1441,1233,1704,1482,1706,1273,1273,1181,1488,1255,1553,1686,1397,1363,1717,1703,1456,1375,1865,2020,2226,2767,2449,3833,3887,2956,2053,1702,1217
Immigrants,Foreigners,Ghana,903,Africa,914,Western Africa,902,Developing regions,172,196,98,122,116,172,215,970,408,429,449,1134,2502,2201,1341,1475,1219,1274,1040,845,959,782,696,564,738,851,710,688,629,659,802,528,531,517
Immigrants,Foreigners,Greece,908,Europe,925,Southern Europe,901,Developed regions,1065,953,897,633,580,584,547,765,564,773,538,592,492,445,275,220,221,190,141,149,150,135,107,117,120,100,74,110,107,119,101,102,146,298
Immigrants,Foreigners,Grenada,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,154,181,231,165,167,168,235,302,165,170,172,268,434,492,235,364,366,387,330,294,372,354,259,222,296,283,363,360,284,325,208,173,142,170
Immigrants,Foreigners,Guatemala,904,Latin America and the Caribbean,916,Central America,902,Developing regions,114,108,113,366,598,975,1265,1060,702,773,1023,2156,1906,1392,757,640,655,519,358,287,329,269,242,179,217,190,230,258,263,264,266,288,358,345
Immigrants,Foreigners,Guinea,903,Africa,914,Western Africa,902,Developing regions,0,3,3,6,4,3,5,14,12,17,10,44,36,32,16,49,61,38,107,100,168,177,205,196,281,256,342,415,327,347,395,352,407,463
Immigrants,Foreigners,Guinea-Bissau,903,Africa,914,Western Africa,902,Developing regions,0,0,0,0,1,0,0,0,3,4,4,4,1,2,2,2,3,4,0,1,1,3,2,6,4,7,12,7,2,0,2,2,4,0
Immigrants,Foreigners,Guyana,904,Latin America and the Caribbean,931,South America,902,Developing regions,2334,2943,3575,2650,1932,2299,3942,6174,2977,3270,2824,3266,2932,3399,4181,3935,2324,1795,1238,1366,1308,1707,1479,1410,1341,1215,1286,1277,1137,1180,953,804,676,656
Immigrants,Foreigners,Haiti,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,1666,3692,3498,2860,1418,1321,1753,2132,1829,2377,2379,2829,2399,3655,2100,2014,1955,1645,1295,1439,1631,2433,2174,1930,1652,1682,1619,1598,2491,2080,4744,6503,5868,4152
Immigrants,Foreigners,Honduras,904,Latin America and the Caribbean,916,Central America,902,Developing regions,26,33,30,68,65,69,81,135,111,138,187,688,840,551,291,270,299,225,167,173,201,180,143,105,133,166,164,165,187,169,386,538,436,350
Immigrants,Foreigners,Hungary,908,Europe,923,Eastern Europe,901,Developed regions,205,310,397,337,310,522,647,676,1139,979,780,775,795,603,349,306,364,319,337,408,418,627,537,489,671,516,520,425,383,312,354,287,300,425
Immigrants,Foreigners,Iceland,908,Europe,924,Northern Europe,901,Developed regions,17,33,10,9,13,6,11,11,7,3,2,11,17,15,11,9,14,11,20,17,9,26,11,17,23,10,2,15,13,15,30,38,42,72
Immigrants,Foreigners,India,935,Asia,5501,Southern Asia,902,Developing regions,8880,8670,8147,7338,5704,4211,7150,10189,11522,10343,12041,13734,13673,21496,18620,18489,23859,22268,17241,18974,28572,31223,31889,27155,28235,36210,33848,28742,28261,29456,34235,27509,30933,33087
Immigrants,Foreigners,Indonesia,935,Asia,920,South-Eastern Asia,902,Developing regions,186,178,252,115,123,100,127,213,270,260,227,252,243,278,262,205,231,166,165,525,1138,907,709,515,552,632,613,657,661,504,712,390,395,387
Immigrants,Foreigners,Iran (Islamic Republic of),935,Asia,5501,Southern Asia,902,Developing regions,1172,1429,1822,1592,1977,1648,1794,2989,3273,3781,3655,6250,6814,3959,2785,3956,6205,7982,7057,6208,5884,6169,8129,5918,6348,5837,7480,6974,6475,6580,7477,7479,7534,11291
Immigrants,Foreigners,Iraq,935,Asia,922,Western Asia,902,Developing regions,262,245,260,380,428,231,265,384,619,911,557,1013,1498,2103,1500,2034,2675,2564,2037,2159,2591,2821,2432,1515,1796,2226,1788,2406,3543,5450,5941,6196,4041,4918
Immigrants,Foreigners,Ireland,908,Europe,924,Northern Europe,901,Developed regions,781,895,707,298,327,287,481,1078,1415,1378,845,705,533,436,331,231,276,220,170,162,178,190,178,192,244,224,283,300,412,395,547,525,725,1015
Immigrants,Foreigners,Israel,935,Asia,922,Western Asia,902,Developing regions,1403,1711,1334,541,446,680,1212,1497,1389,1762,1596,1358,1259,1584,1699,2224,2515,2998,3172,2387,2510,2436,2539,2314,2788,2446,2625,2401,2562,2316,2755,1970,2134,1945
Immigrants,Foreigners,Italy,908,Europe,925,Southern Europe,901,Developed regions,1820,2057,1480,820,858,667,731,1101,885,1068,895,711,623,663,558,508,476,491,399,410,383,410,374,321,334,344,325,320,370,429,434,374,440,545
Immigrants,Foreigners,Jamaica,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,3198,2634,2661,2455,2508,2938,4649,5415,3924,3946,4945,5056,5991,6065,3913,3619,3282,2847,2253,2358,2482,2838,2524,2054,2237,1945,1722,2141,2334,2456,2321,2059,2182,2479
Immigrants,Foreigners,Japan,935,Asia,906,Eastern Asia,901,Developed regions,701,756,598,309,246,198,248,422,324,494,379,506,605,907,956,826,994,924,897,1083,1010,1092,806,817,973,1067,1212,1250,1284,1194,1168,1265,1214,982
Immigrants,Foreigners,Jordan,935,Asia,922,Western Asia,902,Developing regions,177,160,155,113,102,179,181,392,489,785,841,807,909,1141,1173,1006,1070,1317,999,1218,1511,1904,1499,1614,1733,1940,1827,1421,1581,1235,1831,1635,1206,1255
Immigrants,Foreigners,Kazakhstan,935,Asia,5500,Central Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,3,24,42,56,152,593,884,537,450,501,418,542,545,506,408,436,394,431,377,381,462,348
Immigrants,Foreigners,Kenya,903,Africa,910,Eastern Africa,902,Developing regions,291,296,221,201,218,245,244,628,984,1140,869,605,529,478,414,434,369,223,203,310,495,651,630,678,685,693,622,449,453,489,507,585,725,664
Immigrants,Foreigners,Kiribati,909,Oceania,954,Micronesia,902,Developing regions,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,1,0,0,2,0
Immigrants,Foreigners,Kuwait,935,Asia,922,Western Asia,902,Developing regions,1,0,8,2,1,4,4,9,19,19,26,31,96,109,99,130,187,108,121,80,114,107,74,72,74,66,35,62,53,68,67,58,73,48
Immigrants,Foreigners,Kyrgyzstan,935,Asia,5500,Central Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,8,43,63,68,56,95,124,99,245,173,161,135,168,173,157,159,278,123
Immigrants,Foreigners,Lao People's Democratic Republic,935,Asia,920,South-Eastern Asia,902,Developing regions,11,6,16,16,7,17,21,20,22,44,34,33,63,44,52,40,24,31,16,31,36,40,49,22,38,42,74,53,32,39,54,22,25,15
Immigrants,Foreigners,Latvia,908,Europe,924,Northern Europe,901,Developed regions,0,0,0,0,0,0,1,0,0,0,10,17,23,47,80,73,67,123,119,127,130,175,156,110,94,77,69,88,67,85,70,103,202,213
Immigrants,Foreigners,Lebanon,935,Asia,922,Western Asia,902,Developing regions,1409,1119,1159,789,1253,1683,2576,3803,3970,7157,13568,12567,6915,4902,2751,2228,1919,1472,1329,1594,1903,2578,2332,3179,3293,3709,3802,3467,3566,3077,3432,3072,1614,2172
Immigrants,Foreigners,Lesotho,903,Africa,913,Southern Africa,902,Developing regions,1,1,1,2,7,5,3,1,6,5,1,4,4,7,2,3,9,2,1,4,1,0,2,2,2,4,0,4,1,8,7,1,0,6
Immigrants,Foreigners,Liberia,903,Africa,914,Western Africa,902,Developing regions,1,2,2,1,4,4,3,4,3,7,5,11,52,37,40,55,59,61,28,36,56,60,57,139,409,581,356,153,74,94,162,106,58,39
Immigrants,Foreigners,Libya,903,Africa,912,Northern Africa,902,Developing regions,5,7,9,24,10,31,23,81,43,77,47,86,89,85,74,116,128,156,113,157,208,228,210,153,196,196,281,198,306,282,384,352,299,255
Immigrants,Foreigners,Liechtenstein,908,Europe,926,Western Europe,901,Developed regions,1,4,2,0,0,3,0,1,1,1,0,1,2,3,1,0,7,2,0,2,0,2,0,1,0,1,0,0,1,1,0,2,1,0
Immigrants,Foreigners,Lithuania,908,Europe,924,Northern Europe,901,Developed regions,1,1,0,0,0,1,0,0,1,1,5,11,43,63,84,103,87,114,74,96,116,183,125,194,220,167,113,108,109,63,57,52,77,145
Immigrants,Foreigners,Luxembourg,908,Europe,926,Western Europe,901,Developed regions,14,4,2,5,1,3,6,2,4,8,1,3,1,18,9,1,7,9,3,1,5,5,17,9,9,10,9,9,3,5,8,11,6,7
Immigrants,Foreigners,Madagascar,903,Africa,910,Eastern Africa,902,Developing regions,22,10,13,32,30,18,10,42,36,27,28,37,34,55,16,30,35,56,48,34,32,57,59,48,79,88,96,115,118,169,178,148,165,229
Immigrants,Foreigners,Malawi,903,Africa,910,Eastern Africa,902,Developing regions,5,4,6,3,2,0,4,7,1,4,10,9,4,12,6,5,6,11,8,14,12,5,7,3,17,23,15,13,5,10,28,16,9,10
Immigrants,Foreigners,Malaysia,935,Asia,920,South-Eastern Asia,902,Developing regions,786,816,813,448,384,374,425,817,2072,2346,1917,1338,1486,1000,727,490,382,319,214,299,360,460,480,419,401,593,580,600,658,640,802,409,358,204
Immigrants,Foreigners,Maldives,935,Asia,5501,Southern Asia,902,Developing regions,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1,7,4,3,1,1
Immigrants,Foreigners,Mali,903,Africa,914,Western Africa,902,Developing regions,4,4,7,3,3,4,3,5,4,7,13,31,90,51,35,36,67,26,43,30,66,67,62,72,87,87,114,143,154,164,170,155,191,190
Immigrants,Foreigners,Malta,908,Europe,925,Southern Europe,901,Developed regions,191,242,153,64,60,68,76,78,111,68,38,29,28,12,10,15,21,12,15,13,10,24,16,28,28,28,24,7,21,18,17,8,9,4
Immigrants,Foreigners,Marshall Islands,909,Oceania,954,Micronesia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Immigrants,Foreigners,Mauritania,903,Africa,914,Western Africa,902,Developing regions,5,0,3,3,1,1,1,4,3,6,4,5,7,8,6,3,10,11,6,11,15,30,27,23,60,86,124,96,112,83,74,54,77,57
Immigrants,Foreigners,Mauritius,903,Africa,910,Eastern Africa,902,Developing regions,306,259,353,170,207,164,325,578,531,399,401,358,336,276,176,147,159,136,159,138,199,393,348,566,702,696,512,507,714,872,1455,1146,799,1203
Immigrants,Foreigners,Mexico,904,Latin America and the Caribbean,916,Central America,902,Developing regions,409,394,491,490,509,425,667,813,916,1017,1193,1134,1189,1139,776,758,1234,1689,1379,1679,1662,1939,1894,1754,2259,2837,2844,3239,2856,3092,3865,3947,4227,3996
Immigrants,Foreigners,Monaco,908,Europe,926,Western Europe,901,Developed regions,0,0,0,0,0,1,0,1,0,1,3,0,0,3,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,4,1,3,1
Immigrants,Foreigners,Mongolia,935,Asia,906,Eastern Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,8,1,0,1,17,17,20,28,34,59,64,82,59,118,169,103,68,99
Immigrants,Foreigners,Montenegro,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,19,10,14,19,26,9
Immigrants,Foreigners,Morocco,903,Africa,912,Northern Africa,902,Developing regions,325,471,447,335,248,328,388,505,685,1060,1313,1390,1055,1042,660,1069,939,1095,1262,1870,2664,4067,4174,3369,3686,2939,3322,4021,4226,5532,6242,4399,3878,3261
Immigrants,Foreigners,Mozambique,903,Africa,910,Eastern Africa,902,Developing regions,0,0,7,2,3,1,3,1,5,5,3,6,6,8,3,5,1,2,8,8,3,2,5,3,8,5,9,5,5,12,7,3,4,12
