#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
88,Grimer,Poison,,80,80,50,40,50,25,1,False,325
89,Muk,Poison,,105,105,75,65,100,50,1,False,500
90,Shellder,Water,,30,65,100,45,25,40,1,False,305
91,Cloyster,Water,Ice,50,95,180,85,45,70,1,False,525
92,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False,310
93,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False,405
94,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False,500
94,GengarMega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False,600
95,Onix,Rock,Ground,35,45,160,30,45,70,1,False,385
96,Drowzee,Psychic,,60,48,45,43,90,42,1,False,328
97,Hypno,Psychic,,85,73,70,73,115,67,1,False,483
98,Krabby,Water,,30,105,90,25,25,50,1,False,325
99,Kingler,Water,,55,130,115,50,50,75,1,False,475
100,Voltorb,Electric,,40,30,50,55,55,100,1,False,330
101,Electrode,Electric,,60,50,70,80,80,140,1,False,480
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False,325
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False,520
104,Cubone,Ground,,50,50,95,40,50,35,1,False,320
105,Marowak,Ground,,60,80,110,50,80,45,1,False,425
106,Hitmonlee,Fighting,,50,120,53,35,110,87,1,False,455
107,Hitmonchan,Fighting,,50,105,79,35,110,76,1,False,455
108,Lickitung,Normal,,90,55,75,60,75,30,1,False,385
109,Koffing,Poison,,40,65,95,60,45,35,1,False,340
110,Weezing,Poison,,65,90,120,85,70,60,1,False,490
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,345
112,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False,485
113,Chansey,Normal,,250,5,5,35,105,50,1,False,450
114,Tangela,Grass,,65,55,115,100,40,60,1,False,435
115,Kangaskhan,Normal,,105,95,80,40,80,90,1,False,490
115,KangaskhanMega Kangaskhan,Normal,,105,125,100,60,100,100,1,False,590
116,Horsea,Water,,30,40,70,70,25,60,1,False,295
117,Seadra,Water,,55,65,95,95,45,85,1,False,440
118,Goldeen,Water,,45,67,60,35,50,63,1,False,320
119,Seaking,Water,,80,92,65,65,80,68,1,False,450
120,Staryu,Water,,30,45,55,70,55,85,1,False,340
121,Starmie,Water,Psychic,60,75,85,100,85,115,1,False,520
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False,460
123,Scyther,Bug,Flying,70,110,80,55,80,105,1,False,500
124,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,455
125,Electabuzz,Electric,,65,83,57,95,85,105,1,False,490
126,Magmar,Fire,,65,95,57,100,85,93,1,False,495
127,Pinsir,Bug,,65,125,100,55,70,85,1,False,500
127,PinsirMega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False,600
128,Tauros,Normal,,75,100,95,40,70,110,1,False,490
129,Magikarp,Water,,20,10,55,15,20,80,1,False,200
130,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,540
130,GyaradosMega Gyarados,Water,Dark,95,155,109,70,130,81,1,False,640
131,Lapras,Water,Ice,130,85,80,85,95,60,1,False,535
132,Ditto,Normal,,48,48,48,48,48,48,1,False,288
133,Eevee,Normal,,55,55,50,45,65,55,1,False,325
134,Vaporeon,Water,,130,65,60,110,95,65,1,False,525
135,Jolteon,Electric,,65,65,60,110,95,130,1,False,525
136,Flareon,Fire,,65,130,60,95,110,65,1,False,525
137,Porygon,Normal,,65,60,70,85,75,40,1,False,395
138,Omanyte,Rock,Water,35,40,100,90,55,35,1,False,355
139,Omastar,Rock,Water,70,60,125,115,70,55,1,False,495
140,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,355
141,Kabutops,Rock,Water,60,115,105,65,70,80,1,False,495
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False,515
142,AerodactylMega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False,615
143,Snorlax,Normal,,160,110,65,65,110,30,1,False,540
144,Articuno,Ice,Flying,90,85,100,95,125,85,1,True,580
145,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,580
146,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,580
147,Dratini,Dragon,,41,64,45,50,50,50,1,False,300
148,Dragonair,Dragon,,61,84,65,70,70,70,1,False,420
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False,600
150,Mewtwo,Psychic,,106,110,90,154,90,130,1,True,680
150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True,780
150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True,780
151,Mew,Psychic,,100,100,100,100,100,100,1,False,600
152,Chikorita,Grass,,45,49,65,49,65,45,2,False,318
153,Bayleef,Grass,,60,62,80,63,80,60,2,False,405
154,Meganium,Grass,,80,82,100,83,100,80,2,False,525
155,Cyndaquil,Fire,,39,52,43,60,50,65,2,False,309
156,Quilava,Fire,,58,64,58,80,65,80,2,False,405
157,Typhlosion,Fire,,78,84,78,109,85,100,2,False,534
158,Totodile,Water,,50,65,64,44,48,43,2,False,314
159,Croconaw,Water,,65,80,80,59,63,58,2,False,405
160,Feraligatr,Water,,85,105,100,79,83,78,2,False,530
161,Sentret,Normal,,35,46,34,35,45,20,2,False,215
162,Furret,Normal,,85,76,64,45,55,90,2,False,415
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,False,262
164,Noctowl,Normal,Flying,100,50,50,76,96,70,2,False,442
165,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False,265
166,Ledian,Bug,Flying,55,35,50,55,110,85,2,False,390
167,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False,250
168,Ariados,Bug,Poison,70,90,70,60,60,40,2,False,390
169,Crobat,Poison,Flying,85,90,80,70,80,130,2,False,535
170,Chinchou,Water,Electric,75,38,38,56,56,67,2,False,330
171,Lanturn,Water,Electric,125,58,58,76,76,67,2,False,460
172,Pichu,Electric,,20,40,15,35,35,60,2,False,205
173,Cleffa,Fairy,,50,25,28,45,55,15,2,False,218
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,False,210
175,Togepi,Fairy,,35,20,65,40,65,20,2,False,245
176,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,405
177,Natu,Psychic,Flying,40,50,45,70,45,70,2,False,320
178,Xatu,Psychic,Flying,65,75,70,95,70,95,2,False,470
179,Mareep,Electric,,55,40,40,65,45,35,2,False,280
180,Flaaffy,Electric,,70,55,55,80,60,45,2,False,365
181,Ampharos,Electric,,90,75,85,115,90,55,2,False,510
181,AmpharosMega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,False,610
182,Bellossom,Grass,,75,80,95,90,100,50,2,False,490
183,Marill,Water,Fairy,70,20,50,20,50,40,2,False,250
184,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,420
185,Sudowoodo,Rock,,70,100,115,30,65,30,2,False,410
186,Politoed,Water,,90,75,75,90,100,70,2,False,500
187,Hoppip,Grass,Flying,35,35,40,35,55,50,2,False,250
188,Skiploom,Grass,Flying,55,45,50,45,65,80,2,False,340
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False,460
190,Aipom,Normal,,55,70,55,40,55,85,2,False,360
191,Sunkern,Grass,,30,30,30,30,30,30,2,False,180
192,Sunflora,Grass,,75,75,55,105,85,30,2,False,425
193,Yanma,Bug,Flying,65,65,45,75,45,95,2,False,390
194,Wooper,Water,Ground,55,45,45,25,25,15,2,False,210
195,Quagsire,Water,Ground,95,85,85,65,65,35,2,False,430
196,Espeon,Psychic,,65,65,60,130,95,110,2,False,525
197,Umbreon,Dark,,95,65,110,60,130,65,2,False,525
198,Murkrow,Dark,Flying,60,85,42,85,42,91,2,False,405
199,Slowking,Water,Psychic,95,75,80,100,110,30,2,False,490
200,Misdreavus,Ghost,,60,60,60,85,85,85,2,False,435
201,Unown,Psychic,,48,72,48,72,48,48,2,False,336
202,Wobbuffet,Psychic,,190,33,58,33,58,33,2,False,405
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False,455
204,Pineco,Bug,,50,65,90,35,35,15,2,False,290
205,Forretress,Bug,Steel,75,90,140,60,60,40,2,False,465
206,Dunsparce,Normal,,100,70,70,65,65,45,2,False,415
207,Gligar,Ground,Flying,65,75,105,35,65,85,2,False,430
208,Steelix,Steel,Ground,75,85,200,55,65,30,2,False,510
208,SteelixMega Steelix,Steel,Ground,75,125,230,55,95,30,2,False,610
209,Snubbull,Fairy,,60,80,50,40,40,30,2,False,300
210,Granbull,Fairy,,90,120,75,60,60,45,2,False,450
211,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False,430
212,Scizor,Bug,Steel,70,130,100,55,80,65,2,False,500
212,ScizorMega Scizor,Bug,Steel,70,150,140,65,100,75,2,False,600
213,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,505
214,Heracross,Bug,Fighting,80,125,75,40,95,85,2,False,500
214,HeracrossMega Heracross,Bug,Fighting,80,185,115,40,105,75,2,False,600
215,Sneasel,Dark,Ice,55,95,55,35,75,115,2,False,430
216,Teddiursa,Normal,,60,80,50,50,50,40,2,False,330
217,Ursaring,Normal,,90,130,75,75,75,55,2,False,500
218,Slugma,Fire,,40,40,40,70,40,20,2,False,250
219,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,410
220,Swinub,Ice,Ground,50,50,40,30,30,50,2,False,250
221,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False,450
222,Corsola,Water,Rock,55,55,85,65,85,35,2,False,380
223,Remoraid,Water,,35,65,35,65,35,65,2,False,300
224,Octillery,Water,,75,105,75,105,75,45,2,False,480
225,Delibird,Ice,Flying,45,55,45,65,45,75,2,False,330
226,Mantine,Water,Flying,65,40,70,80,140,70,2,False,465
227,Skarmory,Steel,Flying,65,80,140,40,70,70,2,False,465
228,Houndour,Dark,Fire,45,60,30,80,50,65,2,False,330
229,Houndoom,Dark,Fire,75,90,50,110,80,95,2,False,500
229,HoundoomMega Houndoom,Dark,Fire,75,90,90,140,90,115,2,False,600
230,Kingdra,Water,Dragon,75,95,95,95,95,85,2,False,540
231,Phanpy,Ground,,90,60,60,40,40,40,2,False,330
232,Donphan,Ground,,90,120,120,60,60,50,2,False,500
233,Porygon2,Normal,,85,80,90,105,95,60,2,False,515
234,Stantler,Normal,,73,95,62,85,65,85,2,False,465
235,Smeargle,Normal,,55,20,35,20,45,75,2,False,250
236,Tyrogue,Fighting,,35,35,35,35,35,35,2,False,210
237,Hitmontop,Fighting,,50,95,95,35,110,70,2,False,455
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False,305
239,Elekid,Electric,,45,63,37,65,55,95,2,False,360
240,Magby,Fire,,45,75,37,70,55,83,2,False,365
241,Miltank,Normal,,95,80,105,40,70,100,2,False,490
242,Blissey,Normal,,255,10,10,75,135,55,2,False,540
243,Raikou,Electric,,90,85,75,115,100,115,2,True,580
244,Entei,Fire,,115,115,85,90,75,100,2,True,580
245,Suicune,Water,,100,75,115,90,115,85,2,True,580
246,Larvitar,Rock,Ground,50,64,50,45,50,41,2,False,300
247,Pupitar,Rock,Ground,70,84,70,65,70,51,2,False,410
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,600
248,TyranitarMega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False,700
249,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,680
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,680
251,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False,600
252,Treecko,Grass,,40,45,35,65,55,70,3,False,310
253,Grovyle,Grass,,50,65,45,85,65,95,3,False,405
254,Sceptile,Grass,,70,85,65,105,85,120,3,False,530
254,SceptileMega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,False,630
255,Torchic,Fire,,45,60,40,70,50,45,3,False,310
256,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,405
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False,530
257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False,630
258,Mudkip,Water,,50,70,50,50,50,40,3,False,310
259,Marshtomp,Water,Ground,70,85,70,60,70,50,3,False,405
260,Swampert,Water,Ground,100,110,90,85,90,60,3,False,535
260,SwampertMega Swampert,Water,Ground,100,150,110,95,110,70,3,False,635
261,Poochyena,Dark,,35,55,35,30,30,35,3,False,220
262,Mightyena,Dark,,70,90,70,60,60,70,3,False,420
263,Zigzagoon,Normal,,38,30,41,30,41,60,3,False,240
264,Linoone,Normal,,78,70,61,50,61,100,3,False,420
265,Wurmple,Bug,,45,45,35,20,30,20,3,False,195
266,Silcoon,Bug,,50,35,55,25,25,15,3,False,205
267,Beautifly,Bug,Flying,60,70,50,100,50,65,3,False,395
268,Cascoon,Bug,,50,35,55,25,25,15,3,False,205
269,Dustox,Bug,Poison,60,50,70,50,90,65,3,False,385
270,Lotad,Water,Grass,40,30,30,40,50,30,3,False,220
271,Lombre,Water,Grass,60,50,50,60,70,50,3,False,340
272,Ludicolo,Water,Grass,80,70,70,90,100,70,3,False,480
273,Seedot,Grass,,40,40,50,30,30,30,3,False,220
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False,340
275,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False,480
276,Taillow,Normal,Flying,40,55,30,30,30,85,3,False,270
277,Swellow,Normal,Flying,60,85,60,50,50,125,3,False,430
278,Wingull,Water,Flying,40,30,30,55,30,85,3,False,270
279,Pelipper,Water,Flying,60,50,100,85,70,65,3,False,430
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False,198
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False,278
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,518
282,GardevoirMega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,False,618
283,Surskit,Bug,Water,40,30,32,50,52,65,3,False,269
284,Masquerain,Bug,Flying,70,60,62,80,82,60,3,False,414
285,Shroomish,Grass,,60,40,60,40,60,35,3,False,295
286,Breloom,Grass,Fighting,60,130,80,60,60,70,3,False,460
287,Slakoth,Normal,,60,60,60,35,35,30,3,False,280
288,Vigoroth,Normal,,80,80,80,55,55,90,3,False,440
289,Slaking,Normal,,150,160,100,95,65,100,3,False,670
290,Nincada,Bug,Ground,31,45,90,30,30,40,3,False,266
291,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,456
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False,236
293,Whismur,Normal,,64,51,23,51,23,28,3,False,240
294,Loudred,Normal,,84,71,43,71,43,48,3,False,360
295,Exploud,Normal,,104,91,63,91,73,68,3,False,490
296,Makuhita,Fighting,,72,60,30,20,30,25,3,False,237
297,Hariyama,Fighting,,144,120,60,40,60,50,3,False,474
298,Azurill,Normal,Fairy,50,20,40,20,40,20,3,False,190
299,Nosepass,Rock,,30,45,135,45,90,30,3,False,375
300,Skitty,Normal,,50,45,45,35,35,50,3,False,260
301,Delcatty,Normal,,70,65,65,55,55,70,3,False,380
302,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False,380
302,SableyeMega Sableye,Dark,Ghost,50,85,125,85,115,20,3,False,480
303,Mawile,Steel,Fairy,50,85,85,55,55,50,3,False,380
303,MawileMega Mawile,Steel,Fairy,50,105,125,55,95,50,3,False,480
304,Aron,Steel,Rock,50,70,100,40,40,30,3,False,330
305,Lairon,Steel,Rock,60,90,140,50,50,40,3,False,430
306,Aggron,Steel,Rock,70,110,180,60,60,50,3,False,530
306,AggronMega Aggron,Steel,,70,140,230,60,80,50,3,False,630
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,280
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,False,410
308,MedichamMega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,False,510
309,Electrike,Electric,,40,45,40,65,40,65,3,False,295
310,Manectric,Electric,,70,75,60,105,60,105,3,False,475
310,ManectricMega Manectric,Electric,,70,75,80,135,80,135,3,False,575
311,Plusle,Electric,,60,50,40,85,75,95,3,False,405
312,Minun,Electric,,60,40,50,75,85,95,3,False,405
313,Volbeat,Bug,,65,73,55,47,75,85,3,False,400
314,Illumise,Bug,,65,47,55,73,75,85,3,False,400
315,Roselia,Grass,Poison,50,60,45,100,80,65,3,False,400
316,Gulpin,Poison,,70,43,53,43,53,40,3,False,302
317,Swalot,Poison,,100,73,83,73,83,55,3,False,467
318,Carvanha,Water,Dark,45,90,20,65,20,65,3,False,305
319,Sharpedo,Water,Dark,70,120,40,95,40,95,3,False,460
319,SharpedoMega Sharpedo,Water,Dark,70,140,70,110,65,105,3,False,560
320,Wailmer,Water,,130,70,35,70,35,60,3,False,400
321,Wailord,Water,,170,90,45,90,45,60,3,False,500
322,Numel,Fire,Ground,60,60,40,65,45,35,3,False,305
323,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,460
323,CameruptMega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False,560
324,Torkoal,Fire,,70,85,140,85,70,20,3,False,470
325,Spoink,Psychic,,60,25,35,70,80,60,3,False,330
326,Grumpig,Psychic,,80,45,65,90,110,80,3,False,470
327,Spinda,Normal,,60,60,60,60,60,60,3,False,360
328,Trapinch,Ground,,45,100,45,45,45,10,3,False,290
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False,340
330,Flygon,Ground,Dragon,80,100,80,80,80,100,3,False,520
331,Cacnea,Grass,,50,85,40,85,40,35,3,False,335
332,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,475
333,Swablu,Normal,Flying,45,40,60,40,75,50,3,False,310
334,Altaria,Dragon,Flying,75,70,90,70,105,80,3,False,490
334,AltariaMega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,False,590
335,Zangoose,Normal,,73,115,60,60,60,90,3,False,458
336,Seviper,Poison,,73,100,60,100,60,65,3,False,458
337,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False,440
338,Solrock,Rock,Psychic,70,95,85,55,65,70,3,False,440
339,Barboach,Water,Ground,50,48,43,46,41,60,3,False,288
340,Whiscash,Water,Ground,110,78,73,76,71,60,3,False,468
341,Corphish,Water,,43,80,65,50,35,35,3,False,308
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,False,468
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,300
344,Claydol,Ground,Psychic,60,70,105,70,120,75,3,False,500
345,Lileep,Rock,Grass,66,41,77,61,87,23,3,False,355
346,Cradily,Rock,Grass,86,81,97,81,107,43,3,False,495
347,Anorith,Rock,Bug,45,95,50,40,50,75,3,False,355
348,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,495
349,Feebas,Water,,20,15,20,10,55,80,3,False,200
350,Milotic,Water,,95,60,79,100,125,81,3,False,540
351,Castform,Normal,,70,70,70,70,70,70,3,False,420
352,Kecleon,Normal,,60,90,70,60,120,40,3,False,440
353,Shuppet,Ghost,,44,75,35,63,33,45,3,False,295
354,Banette,Ghost,,64,115,65,83,63,65,3,False,455
354,BanetteMega Banette,Ghost,,64,165,75,93,83,75,3,False,555
355,Duskull,Ghost,,20,40,90,30,90,25,3,False,295
356,Dusclops,Ghost,,40,70,130,60,130,25,3,False,455
357,Tropius,Grass,Flying,99,68,83,72,87,51,3,False,460
358,Chimecho,Psychic,,65,50,70,95,80,65,3,False,425
359,Absol,Dark,,65,130,60,75,60,75,3,False,465
359,AbsolMega Absol,Dark,,65,150,60,115,60,115,3,False,565
360,Wynaut,Psychic,,95,23,48,23,48,23,3,False,260
361,Snorunt,Ice,,50,50,50,50,50,50,3,False,300
362,Glalie,Ice,,80,80,80,80,80,80,3,False,480
362,GlalieMega Glalie,Ice,,80,120,80,120,80,100,3,False,580
363,Spheal,Ice,Water,70,40,50,55,50,25,3,False,290
364,Sealeo,Ice,Water,90,60,70,75,70,45,3,False,410
365,Walrein,Ice,Water,110,80,90,95,90,65,3,False,530
366,Clamperl,Water,,35,64,85,74,55,32,3,False,345
367,Huntail,Water,,55,104,105,94,75,52,3,False,485
368,Gorebyss,Water,,55,84,105,114,75,52,3,False,485
369,Relicanth,Water,Rock,100,90,130,45,65,55,3,False,485
370,Luvdisc,Water,,43,30,55,40,65,97,3,False,330
371,Bagon,Dragon,,45,75,60,40,30,50,3,False,300
372,Shelgon,Dragon,,65,95,100,60,50,50,3,False,420
373,Salamence,Dragon,Flying,95,135,80,110,80,100,3,False,600
373,SalamenceMega Salamence,Dragon,Flying,95,145,130,120,90,120,3,False,700
374,Beldum,Steel,Psychic,40,55,80,35,60,30,3,False,300
375,Metang,Steel,Psychic,60,75,100,55,80,50,3,False,420
376,Metagross,Steel,Psychic,80,135,130,95,90,70,3,False,600
376,MetagrossMega Metagross,Steel,Psychic,80,145,150,105,110,110,3,False,700
377,Regirock,Rock,,80,100,200,50,100,50,3,True,580
378,Regice,Ice,,80,50,100,100,200,50,3,True,580
379,Registeel,Steel,,80,75,150,75,150,50,3,True,580
380,Latias,Dragon,Psychic,80,80,90,110,130,110,3,True,600
380,LatiasMega Latias,Dragon,Psychic,80,100,120,140,150,110,3,True,700
381,Latios,Dragon,Psychic,80,90,80,130,110,110,3,True,600
381,LatiosMega Latios,Dragon,Psychic,80,130,100,160,120,110,3,True,700
382,Kyogre,Water,,100,100,90,150,140,90,3,True,670
